2025-12-14,allenai/Olmo-3-32B-Think,baseline,14,False,881.8430318832397,19,1,"[[1], [1], [1, 2], [1], [1], [1], [1, 2, 3], [1], [1, 2], [1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,15,True,267.1393086910248,6,1,"[[1], [1], [1, 2, 3], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,16,True,725.9734351634979,13,1,"[[1], [1], [1], [1], [1], [1], [1, 2], [1, 2], [1, 2], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,17,False,398.7178874015808,5,5,"[[1], [1], [1], [1], [1], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,18,False,1143.1876578330994,19,1,"[[1], [1], [1], [1], [1], [1], [1, 2], [1, 2], [1], [1], [1, 2, 3], [1], [1], [1], [1], [1, 2], [1], [1, 2, 3], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,19,True,248.98732686042786,5,1,"[[1], [1], [1, 2], [1], [1, 2], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,20,True,79.7509388923645,2,1,"[[1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,21,False,717.9423842430115,10,5,"[[1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1, 2], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,22,True,193.22999382019043,6,1,"[[1], [1], [1, 2], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,23,True,42.85402703285217,3,1,"[[1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,24,False,862.3601009845734,14,5,"[[1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1], [1, 2], [1], [1], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,26,True,72.76901268959045,2,2,"[[1], [1], [1, 2]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,27,True,38.376678466796875,1,1,"[[1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,28,True,48.574933767318726,2,1,"[[1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,29,True,422.1915090084076,10,1,"[[1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,30,False,977.6766204833984,16,5,"[[1], [1], [1, 2], [1], [1], [1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1, 2, 3], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,31,True,7.548857927322388,0,1,[[1]]
2025-12-14,allenai/Olmo-3-32B-Think,baseline,32,False,814.8380515575409,13,5,"[[1], [1, 2], [1, 2], [1], [1], [1], [1], [1, 2], [1], [1], [1], [1], [1], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,33,False,458.3527772426605,7,5,"[[1], [1], [1, 2], [1], [1], [1], [1], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,34,True,446.4117729663849,11,1,"[[1], [1], [1, 2, 3], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,35,True,45.41678977012634,2,1,"[[1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,36,True,63.338024854660034,3,1,"[[1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,37,True,378.1007616519928,9,1,"[[1], [1], [1], [1], [1, 2], [1], [1], [1, 2], [1], [1]]"
